StudentID, YearMonthGraduated, FistMajor, SecondMajor, CourseCode, CourseName, CourseCredit, YearTaken, SemesterTaken
1,200802, Major1, Major2, GEK10001, 채플(한국어) 1,0,2002,1
1,200802, Major1, Major2, GEK10008, 공동체리더십훈련1,1,2002,1
1,200802, Major1, Major2, GEK10015, 한동인성교육,1,2002,1
1,200802, Major1, Major2, GEK10030, 철학개론,3,2002,1
1,200802, Major1, Major2, GEK10045, Christian Foundation 1,2,2002,1
1,200802, Major1, Major2, GEK10061, 음악의 이해,3,2002,1
1,200802, Major1, Major2, GEK20031, 독서토론과 글쓰기,3,2002,1
1,200802, Major1, Major2, MEC10001, 경제학입문,3,2002,1
1,200802, Major1, Major2, PCO10058, 정보처리실습,2,2002,1
1,200802, Major1, Major2, GEK10000, Elementary Calculus,4,2002,2
1,200802, Major1, Major2, GEK10002, 채플(한국어) 2,0,2002,2
1,200802, Major1, Major2, GEK10009, 공동체리더십훈련2,1,2002,2
1,200802, Major1, Major2, GEK10011, 창조와 진화,2,2002,2
1,200802, Major1, Major2, GEK20045, Christian Foundation 2,2,2002,2
1,200802, Major1, Major2, ISL10071, 초급일본어1,3,2002,2
1,200802, Major1, Major2, ISL10083, 초급러시아어1,3,2002,2
1,200802, Major1, Major2, MEC10002, 경영학입문,3,2002,2
1,200802, Major1, Major2, ECE10002, C 프로그래밍(전산전자),3,2003,2
1,200802, Major1, Major2, GEK10037, 서양사,3,2003,2
1,200802, Major1, Major2, GEK10062, 미술의 이해,3,2003,2
1,200802, Major1, Major2, GEK20001, 채플(한국어) 3,0,2003,2
1,200802, Major1, Major2, GEK20008, 공동체리더십훈련3,1,2003,2
1,200802, Major1, Major2, MEC20055, 회계실무,3,2003,2
1,200802, Major1, Major2, PCO10053, 프로그래밍입문,3,2003,2
1,200802, Major1, Major2, PCO20053, 인터넷 활용,2,2003,2
1,200802, Major1, Major2, PCO10057, 정보처리개론,2,2003,3
1,200802, Major1, Major2, ECE20016, 자바프로그래밍언어,3,2004,1
1,200802, Major1, Major2, GEK20002, 채플(한국어) 4,0,2004,1
1,200802, Major1, Major2, GEK20009, 공동체리더십훈련4,1,2004,1
1,200802, Major1, Major2, MEC10001, 경제학입문,3,2004,1
1,200802, Major1, Major2, MEC30066, 원가관리회계,3,2004,1
1,200802, Major1, Major2, MEC30068, 중급재무회계1,3,2004,1
1,200802, Major1, Major2, PCO10053, 프로그래밍입문,3,2004,1
1,200802, Major1, Major2, PCO20004, English Reading&Discussion,3,2004,1
1,200802, Major1, Major2, GEK20016, 신앙특론,3,2004,2
1,200802, Major1, Major2, GEK30001, 채플(한국어) 5,0,2004,2
1,200802, Major1, Major2, GEK30008, 공동체리더십훈련5,1,2004,2
1,200802, Major1, Major2, ISL10074, 초급일본어2,3,2004,2
1,200802, Major1, Major2, MEC20005, 경영경제통계,3,2004,2
1,200802, Major1, Major2, MEC20054, 마케팅관리론,3,2004,2
1,200802, Major1, Major2, MEC20057, 경영IT실무,3,2004,2
1,200802, Major1, Major2, GEK10007, 교양독서,1,2004,3
1,200802, Major1, Major2, ECE20010, 데이타구조,3,2005,1
1,200802, Major1, Major2, GEK10016, 사회봉사 A,1,2005,1
1,200802, Major1, Major2, GEK10037, 서양사,3,2005,1
1,200802, Major1, Major2, GEK30002, 채플(한국어) 6,0,2005,1
1,200802, Major1, Major2, GEK30009, 공동체리더십훈련6,1,2005,1
1,200802, Major1, Major2, ITP30002, Operating Systems,3,2005,1
1,200802, Major1, Major2, MEC20058, 재무관리론,3,2005,1
1,200802, Major1, Major2, PCO20005, English Grammar&Composition,3,2005,1
1,200802, Major1, Major2, ECE20013, 프로그래밍언어론,3,2005,2
1,200802, Major1, Major2, ECE20018, C++프로그래밍,3,2005,2
1,200802, Major1, Major2, ECE20042, 이산수학,3,2005,2
1,200802, Major1, Major2, ISL10075, 초급중국어1,3,2005,2
1,200802, Major1, Major2, MEC20059, 조직행위론,3,2005,2
1,200802, Major1, Major2, MEC30074, 인사관리론,3,2005,2
1,200802, Major1, Major2, GEK20014, 사회봉사 B,1,2005,4
1,200802, Major1, Major2, ECE20057, 논리설계,3,2006,1
1,200802, Major1, Major2, ECE30011, 알고리듬분석,3,2006,1
1,200802, Major1, Major2, ITP30008, Object-Oriented Design Pattern,3,2006,1
1,200802, Major1, Major2, MEC20051, 경영정보시스템론,3,2006,1
1,200802, Major1, Major2, ECE20021, 컴퓨터구조,3,2006,2
1,200802, Major1, Major2, ECE40026, 모바일프로그래밍,3,2006,2
1,200802, Major1, Major2, GEE40097, Marriage and Enrichment,3,2006,2
1,200802, Major1, Major2, GEK10021, 생활체육 1,1,2007,1
1,200802, Major1, Major2, GEK20021, 생활체육 2,1,2007,2
2,200902, Major3, Major4, GEK10000, Elementary Calculus,4,2002,1
2,200902, Major3, Major4, GEK10001, 채플(한국어) 1,0,2002,1
2,200902, Major3, Major4, GEK10008, 공동체리더십훈련1,1,2002,1
2,200902, Major3, Major4, GEK10011, 창조와 진화,2,2002,1
2,200902, Major3, Major4, GEK10015, 한동인성교육,1,2002,1
2,200902, Major3, Major4, GEK10038, 물리학실험1,1,2002,1
2,200902, Major3, Major4, GEK10045, Christian Foundation 1,2,2002,1
2,200902, Major3, Major4, GEK10055, 물리학 1,3,2002,1
2,200902, Major3, Major4, GEK10091, 컴퓨터공학개론,2,2002,1
2,200902, Major3, Major4, ISL10075, 초급중국어1,3,2002,1
2,200902, Major3, Major4, ECE10020, 공학설계입문,3,2002,2
2,200902, Major3, Major4, ENG10034, C 프로그래밍(전산전자),3,2002,2
2,200902, Major3, Major4, ENG20021, 일반생물학,3,2002,2
2,200902, Major3, Major4, GEK10002, 채플(한국어) 2,0,2002,2
2,200902, Major3, Major4, GEK10009, 공동체리더십훈련2,1,2002,2
2,200902, Major3, Major4, GEK10016, 사회봉사 A,1,2002,2
2,200902, Major3, Major4, GEK10056, 물리학 2,3,2002,2
2,200902, Major3, Major4, GEK20038, 물리학실험2,1,2002,2
2,200902, Major3, Major4, PCO20004, English Reading&Discussion,3,2002,2
2,200902, Major3, Major4, PCO20004, English Reading&Discussion,3,2002,3
